,statement,support_level
0,Can I order a product if it is listed as 'temporarily unavailable'?,0
1,Pending refund after cancellation.,1
2,Can I request a product that is listed as 'out of stock' to be reserved for me?,0
3,"Cannot log in with username, account does not exist.",1
4,Can I request a product demonstration before making a purchase?,0
5,Cannot log in due to alleged terms of use violation.,1
6,What should I do if my package is lost or damaged?,0
7,Lack of information about delivery status.,1
8,Can I order by phone?,0
9,Cannot log in due to account not activated.,1
10,Issues with payment or declined credit card.,1
11,Can I order a product as a gift?,0
12,Can I return a product if it was purchased with a promotional gift card?,0
13,Security concerns regarding personal data.,1
14,Can I return a product if it was purchased as part of a bundle or set?,0
15,Crashes or issues with mobile app.,1
16,"Accidentally deleted account, want to restore it.",1
17,How can I create an account?,0
18,Can I request a custom order or personalized product?,0
19,Difficulties in changing delivery address.,1
20,Incorrect display of order history.,1
21,Can I order a product that is listed as 'coming soon'?,0
22,"Package marked as delivered, but not received.",1
23,Can I request a product if it is listed as 'discontinued'?,0
24,"Page loading slowly, accessing information takes time.",1
25,Cannot add item to shopping cart.,1
26,No access to certain features or content.,1
27,Can I order a product if it is listed as 'discontinued' but still visible on the website?,0
28,Are my personal and payment details secure?,0
29,"Cannot log in with username, account does not exist.",1
30,Can I request a product that is listed as 'out of stock' to be restocked?,0
31,Cash on delivery payment not accepted.,1
32,Can I order a product if it is listed as 'sold out'?,0
33,Not receiving confirmation email after ordering.,1
34,Cannot log in due to alleged terms of use violation.,1
35,Can I request a product if it is listed as 'coming soon' but not available for pre-order?,0
36,Can I order a product if it is listed as 'out of stock' but available for backorder?,0
37,Can I order a product if it is listed as 'coming soon' and not available for pre-order?,0
38,Parts of delivery missing or not delivered.,1
39,Not receiving password reset email.,1
40,"Accidentally deleted account, want to restore it.",1
41,Can I request a product repair or replacement if it is damaged?,0
42,Can I order without creating an account?,0
43,Can I order a product if it is listed as 'pre-order' but available for backorder?,0
44,Error message: Insecure page or certificate problem.,1
45,What is your email newsletter about?,0
46,Can I return a product if it was purchased with store credit?,0
47,Can I return a product if I no longer have the original packaging?,0
48,Not receiving password reset email.,1
49,Can I cancel my order?,0
50,Outdated information on the page.,1
51,Items missing from shopping cart during checkout.,1
52,Delivery left without notification.,1
53,Page crashing or freezing.,1
54,Price or discount does not match advertised.,1
55,Difficulties in selecting shipping option.,1
56,Product I want to order is not available.,1
57,Can I return a product if it was purchased as a gift?,0
58,Do you have a loyalty program?,0
59,Can I order a product if it is listed as 'sold out' but available for pre-order?,0
60,Incorrect charge on credit card.,1
61,"Incorrect email address during registration, not receiving confirmation email.",1
62,Can I return a product without a receipt?,0
63,Used wrong delivery address.,1
64,"Accessibility issues, functions not accessible.",1
65,Can I return a product if it was purchased during a sale or with a discount?,0
66,"Payment not processed, order canceled.",1
67,Can I return a product if I changed my mind?,0
68,Can I order a product that is listed as 'pre-order' with other in-stock items?,0
69,Not receiving invoice or receipt.,1
70,Do you offer bulk or wholesale discounts?,0
71,Can I return a product if it was a final sale item?,0
72,"Payment functions not working, unable to place order.",1
73,Can I return a product if it was damaged due to improper use?,0
74,How can I contact customer support?,0
75,"Payment by bank transfer not allocated, delivery delay.",1
76,Changed password but still cannot log in.,1
77,Can I return a product if it was purchased with a gift card?,0
78,What should I do if my discount code is not working?,0
79,Invoice payment not confirmed.,1
80,"Received wrong delivery, does not match order.",1
81,What is your price matching policy?,0
82,Can I change my shipping address after placing an order?,0
83,"Order not arrived, delivery date exceeded.",1
84,Can I return a product if it was damaged during shipping?,0
85,"Incorrect email address during registration, not receiving confirmation email.",1
86,"Delivery sent to pickup station, no information received.",1
87,What payment methods do you accept?,0
88,Do you offer live chat support?,0
89,What is your price adjustment policy?,0
90,Can I return a product if it was a clearance or final sale item?,0
91,Can I request a product if it is not listed on your website?,0
92,Can I use multiple promo codes on a single order?,0
93,Not receiving password reset email.,1
94,Changed password but still cannot log in.,1
95,Can I order a product if it is listed as 'coming soon' and available for pre-order?,0
96,Can I order a product if it is listed as 'coming soon' but available for pre-order?,0
97,"Cannot log in with username, account does not exist.",1
98,Cannot log in due to account not activated.,1
99,"Difficulties with returns, refund pending.",1
100,What is your return policy?,0
101,Can I order a product if it is listed as 'on hold'?,0
102,Cannot log in with social media account.,1
103,Can I request a product that is currently out of stock to be reserved for me?,0
104,Can I order a product that is discontinued?,0
105,"Accidentally deleted account, want to restore it.",1
106,Issues with device and browser compatibility.,1
107,"Cannot log in, despite entering correct data.",1
108,Can I return a product if it was purchased with a discount code?,0
109,Credit card payment declined.,1
110,Can I request a product that is out of stock to be restocked?,0
111,Incorrect or incomplete refund amount.,1
112,Can I order a product if it is listed as 'backordered'?,0
113,Unwanted ads or pop-ups affecting navigation.,1
114,Can I request a product if it is not currently available in my preferred color?,0
115,Do you offer gift wrapping services?,0
116,Search function not providing accurate results.,1
117,Do you offer expedited shipping?,0
118,Returned delivery without notification or rescheduling.,1
119,Not receiving emails or notifications.,1
120,What should I do if I receive the wrong item?,0
